N-грамма,Предложение,Контекст до,Контекст после
значительно меньший,"Внутреннее строение USB-накопителя: 1 — разъем USB; 2 — микроконтроллер; 3 — контрольные точки; 4 — чип (микросхема) флэшпамяти; 5 — кварцевый резонатор; 6 — светодиод; 7 — переключатель (защита от записи); 8 — дополнительное место для микросхемы памяти Следует отметить, что в современных USB-накопителях многие элементы имеют значительно меньший размер и впаяны непосредственно в саму конструкцию USB-устройства, которую полностью разобрать без повреждения работоспособности устройства не представляется возможным (рис 2).",1.,"Такие элементы, как светодиод, защита от записи, дополнительное место для микросхемы памяти могут в USB-устройстве отсутствовать."
меньший размер,"Внутреннее строение USB-накопителя: 1 — разъем USB; 2 — микроконтроллер; 3 — контрольные точки; 4 — чип (микросхема) флэшпамяти; 5 — кварцевый резонатор; 6 — светодиод; 7 — переключатель (защита от записи); 8 — дополнительное место для микросхемы памяти Следует отметить, что в современных USB-накопителях многие элементы имеют значительно меньший размер и впаяны непосредственно в саму конструкцию USB-устройства, которую полностью разобрать без повреждения работоспособности устройства не представляется возможным (рис 2).",1.,"Такие элементы, как светодиод, защита от записи, дополнительное место для микросхемы памяти могут в USB-устройстве отсутствовать."
снятие,[8] Снятие защиты от записи с флешки.,URL: http://www.novintex.ru/read/actions/usb_flash (дата обращения 28.09.2017).,URL: http://bsodstop.ru/kak-snyat-zashchitu-otzapisi-s-fleshki (дата обращения 28.09.2017).
состав,"При этом микросхема выпаивается из накопителя и считывается на специальном считывающем устройстве — Flash reader, входящем в состав комплекса, что позволяет получить доступ к данным в случаях, когда контроллер накопителя неисправен.",Данный комплекс использует собственную технологию прямого доступа к микросхемам флэш-памяти.,Эта технология дает возможность увеличить вероятность успешного восстановления данных даже в случае физического повреждения накопителей [12].
сделать,"Результат исследования Обобщая все вышеизложенное, можно сделать вывод о том, что на сегодняшний день USB-накопители являются наиболее удобными и практически незаменимыми переносными устройствами для хранения и чтения/записи информации, которые способны сочетать в себе такие свойства, как компактность и возможность хранения большого объема данных, поэтому USB-накопитель часто становится объектом экспертного исследования в рамках проведения судебной компьютерной технической экспертизы.",19.,"Программное обеспечение эксперта постоянно совершенствуется: разработаны различные программные средства, которые позволяют решать все более сложные экспертные задачи."
сфера,"В первую очередь это обусловлено тем, что сфера использования USB-памяти типа NOR применяется для хранения небольшого объема данных (до 256 Мбайт), что недопустимо при разработке USB-накопителей, в то время как USB-память типа NAND предназначена для хранения большого объема данных.",В USB-накопителях используется память типа NAND.,"Кварцевый резонатор используется для построения опорной частоты, необходимой для функционирования логики контроллера и флэш-памяти."
возможность,"Актуальность исследования USB-накопителей обусловлена их широким использованием в настоящее время, поскольку это наиболее удобные и практически незаменимые переносные устройства для хранения данных, которые способны сочетать в себе такие свойства, как компактность и возможность хранения большого объема информации.","Баумана, 2017 Введение.","В связи с этим данные устройства нередко становятся объектами исследования при проведении судебной компьютерно-технической экспертизы, поскольку могут содержать криминалистически важную информацию."
возможность,Эта технология дает возможность увеличить вероятность успешного восстановления данных даже в случае физического повреждения накопителей [12].,"При этом микросхема выпаивается из накопителя и считывается на специальном считывающем устройстве — Flash reader, входящем в состав комплекса, что позволяет получить доступ к данным в случаях, когда контроллер накопителя неисправен.","Современные микросхемы памяти представляют собой достаточно сложные устройства, подверженные явлениям износа, что является основной причиной логического повреждения накопителя."
возможность,"Поиск решения в «системе решений» Возможность виртуализации контроллера играет важную роль в работе эксперта, поскольку нередко не представляется возможным восстановить данные с USB-устройства иными способами вследствие нерабочего состояния контроллера.",9.,При исследовании USB-накопителей помимо аппаратно-программного комплекса PC-3000 flash в экспертной практике широко применяется программный комплекс Encase Forensic Assistant.
возможность,"Результат исследования Обобщая все вышеизложенное, можно сделать вывод о том, что на сегодняшний день USB-накопители являются наиболее удобными и практически незаменимыми переносными устройствами для хранения и чтения/записи информации, которые способны сочетать в себе такие свойства, как компактность и возможность хранения большого объема данных, поэтому USB-накопитель часто становится объектом экспертного исследования в рамках проведения судебной компьютерной технической экспертизы.",19.,"Программное обеспечение эксперта постоянно совершенствуется: разработаны различные программные средства, которые позволяют решать все более сложные экспертные задачи."
